"pga_tournament_id","pga_tournament_name","year","pga_course_name","dg_event_id","dg_event_name","dg_course_name","match_method"
"R2026004","Farmers Insurance Open",2026,"Torrey Pines Golf Course (South Course)",4,"Farmers Insurance Open","Torrey Pines Golf Course (North Course)","exact_name_year"
"R2026003","WM Phoenix Open",2026,"TPC Scottsdale (Stadium Course)",3,"WM Phoenix Open","TPC Scottsdale (Stadium Course)","exact_name_year"
"R2026005","AT&T Pebble Beach Pro-Am",2026,"Pebble Beach Golf Links",5,"AT&T Pebble Beach Pro-Am","Spyglass Hill Golf Course","exact_name_year"
"R2026007","The Genesis Invitational",2026,"The Riviera Country Club",7,"The Genesis Invitational","The Riviera Country Club","exact_name_year"
"R2026010","Cognizant Classic in The Palm Beaches",2026,"PGA National - Champion Course",10,"Cognizant Classic in The Palm Beaches","PGA National  - Champion Course","exact_name_year"
"R2026009","Arnold Palmer Invitational presented by Mastercard",2026,"Arnold Palmer's Bay Hill Club & Lodge",NA,NA,NA,"unmatched"
"R2026483","Puerto Rico Open",2026,"Grand Reserve Golf Club",NA,NA,NA,"unmatched"
"R2026011","THE PLAYERS Championship",2026,"TPC Sawgrass - THE PLAYERS Stadium Course",NA,NA,NA,"unmatched"
"R2026475","Valspar Championship",2026,"Innisbrook Resort and Golf Club - Copperhead Course",NA,NA,NA,"unmatched"
"R2026020","Texas Children's Houston Open",2026,"Memorial Park Golf Course",NA,NA,NA,"unmatched"
"R2026041","Valero Texas Open",2026,"TPC San Antonio - The Oaks Course",NA,NA,NA,"unmatched"
"R2026014","Masters Tournament",2026,"Augusta National Golf Club",NA,NA,NA,"unmatched"
"R2026012","RBC Heritage",2026,"Harbour Town Golf Links",NA,NA,NA,"unmatched"
"R2026018","Zurich Classic of New Orleans",2026,"TPC Louisiana",NA,NA,NA,"unmatched"
"R2026556","Cadillac Championship",2026,"Trump National Doral (Blue Monster)",NA,NA,NA,"unmatched"
"R2026480","Truist Championship",2026,"Quail Hollow Club",NA,NA,NA,"unmatched"
"R2026553","ONEflight Myrtle Beach Classic",2026,"Dunes Golf and Beach Club",NA,NA,NA,"unmatched"
"R2026033","PGA Championship",2026,"Aronimink Golf Club",NA,NA,NA,"unmatched"
"R2026019","THE CJ CUP Byron Nelson",2026,"TPC Craig Ranch",NA,NA,NA,"unmatched"
"R2026021","Charles Schwab Challenge",2026,"Colonial Country Club",NA,NA,NA,"unmatched"
"R2026023","the Memorial Tournament presented by Workday",2026,"Muirfield Village Golf Club",NA,NA,NA,"unmatched"
"R2026032","RBC Canadian Open",2026,"TPC Toronto at Osprey Valley (North Course)",NA,NA,NA,"unmatched"
"R2026026","U.S. Open",2026,"Shinnecock Hills Golf Club",NA,NA,NA,"unmatched"
"R2026034","Travelers Championship",2026,"TPC River Highlands",NA,NA,NA,"unmatched"
"R2026030","John Deere Classic",2026,"TPC Deere Run",NA,NA,NA,"unmatched"
"R2026541","Genesis Scottish Open",2026,"The Renaissance Club",NA,NA,NA,"unmatched"
"R2026518","ISCO Championship",2026,"Hurstbourne Country Club",NA,NA,NA,"unmatched"
"R2026100","The Open Championship",2026,"Royal Birkdale Golf Club",NA,NA,NA,"unmatched"
"R2026522","Corales Puntacana Championship",2026,"Puntacana Resort & Club (Corales Golf Course)",NA,NA,NA,"unmatched"
"R2026525","3M Open",2026,"TPC Twin Cities",NA,NA,NA,"unmatched"
"R2026524","Rocket Classic",2026,"Detroit Golf Club",NA,NA,NA,"unmatched"
"R2026013","Wyndham Championship",2026,"Sedgefield Country Club",NA,NA,NA,"unmatched"
"R2026027","FedEx St. Jude Championship",2026,"TPC Southwind",NA,NA,NA,"unmatched"
"R2026028","BMW Championship",2026,"Bellerive Country Club",NA,NA,NA,"unmatched"
"R2026060","TOUR Championship",2026,"East Lake Golf Club",NA,NA,NA,"unmatched"
"R2026557","Biltmore Championship Asheville",2026,"The Cliffs at Walnut Cove",NA,NA,NA,"unmatched"
