"tournament_id","course_name","tournament_name","year"
"R2024524","Detroit Golf Club","Rocket Mortgage Classic",2024
"R2024030","TPC Deere Run","John Deere Classic",2024
"R2024541","The Renaissance Club","Genesis Scottish Open",2024
"R2024518","Keene Trace Golf Club (Champion Trace)","ISCO Championship",2024
"R2024100","Royal Troon","The Open Championship",2024
"R2024472","Tahoe Mountain Club (Old Greenwood)","Barracuda Championship",2024
"R2024525","TPC Twin Cities","3M Open",2024
"R2024519","Le Golf National","Men’s Olympic Golf Competition",2024
"R2024013","Sedgefield Country Club","Wyndham Championship",2024
"R2024027","TPC Southwind","FedEx St. Jude Championship",2024
"R2024028","Castle Pines Golf Club","BMW Championship",2024
"R2024060","East Lake Golf Club","TOUR Championship",2024
"R2024464","Silverado Resort (North Course)","Procore Championship",2024
"R2024500","The Royal Montreal GC","Presidents Cup",2024
"R2024054","The Country Club of Jackson","Sanderson Farms Championship",2024
"R2024554","Black Desert Resort","Black Desert Championship",2024
"R2024047","TPC Summerlin","Shriners Children's Open",2024
"R2024527","ACCORDIA GOLF Narashino Country Club","ZOZO CHAMPIONSHIP",2024
"R2024457","El Cardonal at Diamante","World Wide Technology Championship",2024
"R2024528","Port Royal Golf Course","Butterfield Bermuda Championship",2024
"R2024493","Sea Island Golf Club (Seaside Course)","The RSM Classic",2024
"R2024478","Albany GC","Hero World Challenge",2024
"R2024088","Dye's Valley Course","PGA TOUR Q-School presented by Korn Ferry",2024
"R2024551","Tiburón Golf Club","Grant Thornton Invitational",2024
"R2025016","Plantation Course at Kapalua","The Sentry",2025
"R2025006","Waialae Country Club","Sony Open in Hawaii",2025
"R2025002","Pete Dye Stadium Course","The American Express",2025
"R2025004","Torrey Pines Golf Course (South Course)","Farmers Insurance Open",2025
"R2025005","Pebble Beach Golf Links","AT&T Pebble Beach Pro-Am",2025
"R2025003","TPC Scottsdale (Stadium Course)","WM Phoenix Open",2025
"R2025007","Torrey Pines Golf Course (South Course)","The Genesis Invitational",2025
"R2025540","Vidanta Vallarta","Mexico Open at VidantaWorld",2025
"R2025010","PGA National Resort (The Champion Course)","Cognizant Classic in The Palm Beaches",2025
"R2025009","Arnold Palmer's Bay Hill Club & Lodge","Arnold Palmer Invitational presented by Mastercard",2025
"R2025483","Grand Reserve Golf Club","Puerto Rico Open",2025
"R2025011","TPC Sawgrass (THE PLAYERS Stadium Course)","THE PLAYERS Championship",2025
"R2025475","Innisbrook Resort (Copperhead Course)","Valspar Championship",2025
"R2025020","Memorial Park Golf Course","Texas Children's Houston Open",2025
"R2025041","TPC San Antonio (Oaks Course)","Valero Texas Open",2025
"R2025014","Augusta National Golf Club","Masters Tournament",2025
"R2025012","Harbour Town Golf Links","RBC Heritage",2025
"R2025522","Puntacana Resort & Club (Corales Golf Course)","Corales Puntacana Championship",2025
"R2025018","TPC Louisiana","Zurich Classic of New Orleans",2025
"R2025019","TPC Craig Ranch","THE CJ CUP Byron Nelson",2025
"R2025480","The Philadelphia Cricket Club (Wissahickon Course)","Truist Championship",2025
"R2025553","Dunes Golf and Beach Club","ONEflight Myrtle Beach Classic",2025
"R2025033","Quail Hollow Club","PGA Championship",2025
"R2025021","Colonial Country Club","Charles Schwab Challenge",2025
"R2025023","Muirfield Village Golf Club","the Memorial Tournament presented by Workday",2025
"R2025032","TPC Toronto at Osprey Valley (North Course)","RBC Canadian Open",2025
"R2025026","Oakmont Country Club","U.S. Open",2025
"R2025034","TPC River Highlands","Travelers Championship",2025
"R2025524","Detroit Golf Club","Rocket Classic",2025
"R2025030","TPC Deere Run","John Deere Classic",2025
"R2025541","The Renaissance Club","Genesis Scottish Open",2025
"R2025518","Hurstbourne Country Club","ISCO Championship",2025
"R2025100","Royal Portrush Golf Club","The Open Championship",2025
"R2025472","Tahoe Mountain Club (Old Greenwood)","Barracuda Championship",2025
"R2025525","TPC Twin Cities","3M Open",2025
"R2025013","Sedgefield Country Club","Wyndham Championship",2025
"R2025027","TPC Southwind","FedEx St. Jude Championship",2025
