captured_at,kl_round_props_refreshed_at,projections_updated_at,event_name,course_used,display_round,round_num,dg_id,player_name,market,kl_line,over_odds,under_odds,p_over_implied,p_under_implied,odds_method,model_total_score,model_birdies,model_pars,model_bogeys,model_gir,model_fairways,model_putts
2026-07-31T02:45:48Z,2026-07-31T02:43:44Z,2026-07-31T02:45:32Z,Rocket Classic,Detroit Golf Club North Course,2,2,19895,"Schauffele, Xander",Total Score,67.5,-150,150,0.6,0.4,,67.44,4.12,11.18,2.39,13.86,10.15,28.3
2026-07-31T02:45:48Z,2026-07-31T02:43:44Z,2026-07-31T02:45:32Z,Rocket Classic,Detroit Golf Club North Course,2,2,23604,"Clark, Wyndham",Total Score,68.5,135,-135,0.425531914893617,0.574468085106383,,67.79,5,10.05,2.47,13.82,8.23,27.4
2026-07-31T02:45:48Z,2026-07-31T02:43:44Z,2026-07-31T02:45:32Z,Rocket Classic,Detroit Golf Club North Course,2,2,11676,"Finau, Tony",Total Score,70.5,156,-156,0.390625,0.609375,,68.86,5.04,10.04,2.64,14.26,8.13,28.8
2026-07-31T02:45:48Z,2026-07-31T02:43:44Z,2026-07-31T02:45:32Z,Rocket Classic,Detroit Golf Club North Course,2,2,14578,"Henley, Russell",Total Score,68.5,163,-163,0.38022813688212925,0.6197718631178707,,68.36,4.43,10.83,2.45,14.76,9.39,27.9
2026-07-31T02:45:48Z,2026-07-31T02:43:44Z,2026-07-31T02:45:32Z,Rocket Classic,Detroit Golf Club North Course,2,2,12965,"Fowler, Rickie",Total Score,68.5,135,-135,0.425531914893617,0.574468085106383,,67.65,4.77,10.37,2.45,14.92,8.88,28.2
2026-07-31T02:45:48Z,2026-07-31T02:43:44Z,2026-07-31T02:45:32Z,Rocket Classic,Detroit Golf Club North Course,2,2,15466,"Cantlay, Patrick",Total Score,67.5,-127,127,0.5594713656387665,0.44052863436123346,,67.57,4.86,10.4,2.42,14.49,8.67,28.2
2026-07-31T02:45:48Z,2026-07-31T02:43:44Z,2026-07-31T02:45:32Z,Rocket Classic,Detroit Golf Club North Course,2,2,18424,"Roy, Kevin",Total Score,69.5,190,-190,0.3448275862068966,0.6551724137931034,,68.66,4.5,10.49,2.67,13.14,8.46,28.9
2026-07-31T02:45:48Z,2026-07-31T02:43:44Z,2026-07-31T02:45:32Z,Rocket Classic,Detroit Golf Club North Course,2,2,29279,"Suber, Jackson",Total Score,69.5,213,-212,0.3194888178913738,0.6794871794871795,,68.81,4.84,10.18,2.55,14.26,8.36,28.7
2026-07-31T02:45:48Z,2026-07-31T02:43:44Z,2026-07-31T02:45:32Z,Rocket Classic,Detroit Golf Club North Course,2,2,14636,"Spieth, Jordan",Total Score,68.5,-144,144,0.5901639344262295,0.4098360655737705,,69.27,4.03,10.89,2.66,13.89,8.37,28.6
2026-07-31T02:45:48Z,2026-07-31T02:43:44Z,2026-07-31T02:45:32Z,Rocket Classic,Detroit Golf Club North Course,2,2,17536,"Spaun, J.J.",Total Score,68.5,174,-174,0.36496350364963503,0.635036496350365,,67.93,4.6,10.53,2.57,14.77,8.89,28.7
