captured_at,czr_round_props_refreshed_at,projections_updated_at,event_name,course_used,display_round,round_num,dg_id,player_name,market,czr_line,over_odds,under_odds,p_over_implied,p_under_implied,odds_method,model_total_score,model_birdies,model_pars,model_bogeys,model_gir,model_fairways,model_putts
2026-07-30T04:48:23Z,2026-07-30T02:27:19Z,2026-07-30T02:35:40Z,Rocket Classic,Detroit Golf Club North Course,1,1,19895,"Schauffele, Xander",Pars,11.5,-150,120,0.6,0.45454545454545453,,66.38,4.22,11.75,1.77,14.08,10.15,28.8
2026-07-30T04:48:23Z,2026-07-30T02:27:19Z,2026-07-30T02:35:40Z,Rocket Classic,Detroit Golf Club North Course,1,1,14609,"Kim, Si Woo",Pars,11.5,-125,-105,0.5555555555555556,0.5121951219512195,,66.95,4.51,11.44,1.77,14.06,9.27,28.8
2026-07-30T04:48:23Z,2026-07-30T02:27:19Z,2026-07-30T02:35:40Z,Rocket Classic,Detroit Golf Club North Course,1,1,29767,"Gerard, Ryan",Pars,11.5,-120,-110,0.5454545454545454,0.5238095238095238,,65.46,4.77,10.78,2.07,13.98,8.93,28.6
2026-07-30T04:48:23Z,2026-07-30T02:27:19Z,2026-07-30T02:35:40Z,Rocket Classic,Detroit Golf Club North Course,1,1,27364,"Thompson, Davis",Pars,11.5,-105,-125,0.5121951219512195,0.5555555555555556,,66.26,4.78,11.02,1.87,14.77,8.65,29.4
2026-07-30T04:48:23Z,2026-07-30T02:27:19Z,2026-07-30T02:35:40Z,Rocket Classic,Detroit Golf Club North Course,1,1,24550,"Ghim, Doug",Pars,11.5,-165,127,0.6226415094339622,0.44052863436123346,,66.4,4.56,11.28,1.77,14.07,8.88,29.6
2026-07-30T04:48:23Z,2026-07-30T02:27:19Z,2026-07-30T02:35:40Z,Rocket Classic,Detroit Golf Club North Course,1,1,23504,"Hoey, Rico",Pars,11.5,-145,-110,0.5918367346938775,0.5238095238095238,,68.18,4.39,11.03,2.09,13.31,8.65,30.7
2026-07-30T04:48:23Z,2026-07-30T02:27:19Z,2026-07-30T02:35:40Z,Rocket Classic,Detroit Golf Club North Course,1,1,26649,"Thorbjornsen, Michael",Pars,11.5,-125,-105,0.5555555555555556,0.5121951219512195,,66.91,4.61,11.22,1.8,13.81,8.73,29.8
2026-07-30T04:48:23Z,2026-07-30T02:27:19Z,2026-07-30T02:35:40Z,Rocket Classic,Detroit Golf Club North Course,1,1,13562,"Matsuyama, Hideki",Pars,11.5,105,-135,0.4878048780487805,0.574468085106383,,66.75,4.96,10.5,2.19,14.02,8.58,29.2
2026-07-30T04:48:23Z,2026-07-30T02:27:19Z,2026-07-30T02:35:40Z,Rocket Classic,Detroit Golf Club North Course,1,1,14578,"Henley, Russell",Pars,11.5,-155,122,0.6078431372549019,0.45045045045045046,,68.35,4.2,11.65,1.86,13.87,9.39,29
2026-07-30T04:48:23Z,2026-07-30T02:27:19Z,2026-07-30T02:35:40Z,Rocket Classic,Detroit Golf Club North Course,1,1,24968,"Griffin, Ben",Pars,12.5,130,-170,0.43478260869565216,0.6296296296296297,,68.08,4.05,11.74,1.88,13.57,9.24,28.7
2026-07-30T04:48:23Z,2026-07-30T02:27:19Z,2026-07-30T02:35:40Z,Rocket Classic,Detroit Golf Club North Course,1,1,17536,"Spaun, J.J.",Pars,11.5,-135,105,0.574468085106383,0.4878048780487805,,68.3,4.33,11.36,1.98,13.85,8.9,29.8
2026-07-30T04:48:23Z,2026-07-30T02:27:19Z,2026-07-30T02:35:40Z,Rocket Classic,Detroit Golf Club North Course,1,1,14577,"English, Harris",Pars,11.5,-170,130,0.6296296296296297,0.43478260869565216,,66.08,4.62,11.07,1.98,13.25,8.81,28.8
2026-07-30T04:48:23Z,2026-07-30T02:27:19Z,2026-07-30T02:35:40Z,Rocket Classic,Detroit Golf Club North Course,1,1,14636,"Spieth, Jordan",Pars,11.5,-150,120,0.6,0.45454545454545453,,67.22,4.35,11.24,2.03,13.21,8.37,29.7
2026-07-30T04:48:23Z,2026-07-30T02:27:19Z,2026-07-30T02:35:40Z,Rocket Classic,Detroit Golf Club North Course,1,1,15466,"Cantlay, Patrick",Pars,11.5,-165,127,0.6226415094339622,0.44052863436123346,,68.12,4.52,11.33,1.83,13.75,8.69,29.3
2026-07-30T04:48:23Z,2026-07-30T02:27:19Z,2026-07-30T02:35:40Z,Rocket Classic,Detroit Golf Club North Course,1,1,23602,"Hojgaard, Nicolai",Pars,11.5,-135,105,0.574468085106383,0.4878048780487805,,66.77,4.55,10.93,2.01,13.69,8.2,29.6
2026-07-30T04:48:23Z,2026-07-30T02:27:19Z,2026-07-30T02:35:40Z,Rocket Classic,Detroit Golf Club North Course,1,1,29433,"Bridgeman, Jacob",Pars,11.5,-145,115,0.5918367346938775,0.46511627906976744,,67.21,4.8,10.83,2.01,13.47,8.65,28.9
2026-07-30T04:48:23Z,2026-07-30T02:27:19Z,2026-07-30T02:35:40Z,Rocket Classic,Detroit Golf Club North Course,1,1,17780,"Pendrith, Taylor",Pars,11.5,-150,120,0.6,0.45454545454545453,,68.4,4.81,10.55,2.2,12.49,8.18,30.3
2026-07-30T04:48:23Z,2026-07-30T02:27:19Z,2026-07-30T02:35:40Z,Rocket Classic,Detroit Golf Club North Course,1,1,16395,"Kohles, Ben",Pars,11.5,-135,105,0.574468085106383,0.4878048780487805,,68.12,4.42,11.45,1.85,14.35,9.26,30.2
