captured_at,pp_round_props_refreshed_at,projections_updated_at,event_name,course_used,display_round,round_num,dg_id,player_name,market,pp_line,over_odds,under_odds,p_over_implied,p_under_implied,pp_odds_method,model_total_score,model_birdies,model_pars,model_bogeys,model_gir,model_fairways,model_putts
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,13900,"Lowry, Shane",Total Score,69,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,68.47,3.79,10.5,3.19,12.98,9.04,29.7
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,18554,"Rai, Aaron",Pars,11.5,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,68.96,3.8,10.4,3.34,12.98,10.04,29.7
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,17536,"Spaun, J.J.",Pars,11.5,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,69.55,3.91,10.17,3.48,13.04,9.22,29.8
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,13900,"Lowry, Shane",Pars,11.5,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,68.47,3.79,10.5,3.19,12.98,9.04,29.7
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,17536,"Spaun, J.J.",Birdies,4,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,69.55,3.91,10.17,3.48,13.04,9.22,29.8
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,18554,"Rai, Aaron",Bogeys,2.5,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,68.96,3.8,10.4,3.34,12.98,10.04,29.7
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,17536,"Spaun, J.J.",Bogeys,2.5,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,69.55,3.91,10.17,3.48,13.04,9.22,29.8
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,13900,"Lowry, Shane",Bogeys,2.5,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,68.47,3.79,10.5,3.19,12.98,9.04,29.7
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,10091,"McIlroy, Rory",Birdies,4.5,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,66.72,4.14,10.63,2.69,13.07,8.27,28.8
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,27774,"Gotterup, Chris",Birdies,4.5,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,68.23,3.87,10.41,3.22,12.89,7.94,28.6
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,27900,"Potgieter, Aldrich",Total Score,69.5,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,69.74,3.75,10.13,3.59,11.27,7.6,30
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,27774,"Gotterup, Chris",Total Score,68.5,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,68.23,3.87,10.41,3.22,12.89,7.94,28.6
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,23323,"MacIntyre, Robert",Total Score,68.5,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,68.21,4.1,10.33,3.13,12.15,8.64,28.6
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,10091,"McIlroy, Rory",Total Score,68,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,66.72,4.14,10.63,2.69,13.07,8.27,28.8
