exported_at,projections_updated_at,dk_round_props_refreshed_at,event_name,course_used,display_round,round_num,dg_id,player_name,country,market,side,line,american_odds,over_odds,under_odds,book,model_projection,p_model,p_implied,edge_pct,mu_sg,bet,bet_reason,bet_gap,bet_gap_need
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,23504,"Hoey, Rico",PHI,Birdies,under,4.5,-154,108,-154,draftkings,4.9,0.4305,0.6063,-17.58,2.325,NO,inside_gap,0.4,0.5
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,14502,"Cauley, Bud",USA,Birdies,over,4.5,-105,-105,-134,draftkings,4.6,0.5181,0.5122,0.59,2.133,NO,inside_gap,0.1,1
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,14502,"Cauley, Bud",USA,Birdies,under,4.5,-134,-105,-134,draftkings,4.6,0.4819,0.5726,-9.07,2.133,NO,inside_gap,0.1,0.5
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,10873,"Skinns, David",ENG,Birdies,over,3.5,-168,-168,118,draftkings,4.66,0.697,0.6269,7.02,1.91,YES,policy,1.16,1
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,10873,"Skinns, David",ENG,Birdies,under,3.5,118,-168,118,draftkings,4.66,0.303,0.4587,-15.58,1.91,NO,wrong_side,1.16,1
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,24766,"Kim, Tom",KOR,Pars,over,10.5,-172,-172,122,draftkings,10.9,0.5479,0.6324,-8.45,2.964,YES,policy,0.4,0
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,24766,"Kim, Tom",KOR,Pars,under,10.5,122,-172,122,draftkings,10.9,0.4521,0.4505,0.17,2.964,NO,wrong_side,0.4,0
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,18474,"Smalley, Alex",USA,Pars,over,11.5,120,120,-170,draftkings,10.73,0.409,0.4545,-4.56,2.315,NO,wrong_side,-0.77,0
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,18474,"Smalley, Alex",USA,Pars,under,11.5,-170,120,-170,draftkings,10.73,0.591,0.6296,-3.86,2.315,NO,odds_floor,-0.77,0
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,29197,"Brennan, Michael",USA,Pars,over,10.5,-122,-122,-115,draftkings,10.75,0.5294,0.5495,-2.02,2.227,YES,policy,0.25,0
