captured_at,sl_round_props_refreshed_at,projections_updated_at,event_name,course_used,display_round,round_num,dg_id,player_name,market,sl_line,over_odds,under_odds,p_over_implied,p_under_implied,odds_method,model_total_score,model_birdies,model_pars,model_bogeys,model_gir,model_fairways,model_putts
2026-07-28T18:33:22Z,2026-07-28T18:31:12Z,2026-07-28T18:32:11Z,Rocket Classic,Detroit Golf Club,1,1,15466,"Cantlay, Patrick",Birdies,3.5,-154,-108,0.6062992125984252,0.5192307692307693,sleeper_multiplier,68.38,5.08,11.09,1.51,14.25,8.66,28.5
2026-07-28T18:33:22Z,2026-07-28T18:31:12Z,2026-07-28T18:32:11Z,Rocket Classic,Detroit Golf Club,1,1,15466,"Cantlay, Patrick",Bogeys,2.5,108,-182,0.4807692307692308,0.6453900709219859,sleeper_multiplier,68.38,5.08,11.09,1.51,14.25,8.66,28.5
2026-07-28T18:33:22Z,2026-07-28T18:31:12Z,2026-07-28T18:32:11Z,Rocket Classic,Detroit Golf Club,1,1,15466,"Cantlay, Patrick",Total Score,68.5,-143,-115,0.588477366255144,0.5348837209302325,sleeper_multiplier,68.38,5.08,11.09,1.51,14.25,8.66,28.5
2026-07-28T18:33:22Z,2026-07-28T18:31:12Z,2026-07-28T18:32:11Z,Rocket Classic,Detroit Golf Club,1,1,24968,"Griffin, Ben",Birdies,3.5,-139,-119,0.5815899581589958,0.54337899543379,sleeper_multiplier,68.99,4.41,11.68,1.58,14.15,9.77,27.8
2026-07-28T18:33:22Z,2026-07-28T18:31:12Z,2026-07-28T18:32:11Z,Rocket Classic,Detroit Golf Club,1,1,24968,"Griffin, Ben",Total Score,68.5,-159,-104,0.6138996138996139,0.5098039215686274,sleeper_multiplier,68.99,4.41,11.68,1.58,14.15,9.77,27.8
2026-07-28T18:33:22Z,2026-07-28T18:31:12Z,2026-07-28T18:32:11Z,Rocket Classic,Detroit Golf Club,1,1,19895,"Schauffele, Xander",Birdies,3.5,-189,110,0.6539792387543253,0.47619047619047616,sleeper_multiplier,68.64,4.43,11.73,1.58,14.17,11.23,28.3
2026-07-28T18:33:22Z,2026-07-28T18:31:12Z,2026-07-28T18:32:11Z,Rocket Classic,Detroit Golf Club,1,1,19895,"Schauffele, Xander",Bogeys,2.5,110,-189,0.47619047619047616,0.6539792387543253,sleeper_multiplier,68.64,4.43,11.73,1.58,14.17,11.23,28.3
2026-07-28T18:33:22Z,2026-07-28T18:31:12Z,2026-07-28T18:32:11Z,Rocket Classic,Detroit Golf Club,1,1,19895,"Schauffele, Xander",Total Score,68.5,-125,-132,0.5555555555555556,0.5689655172413793,sleeper_multiplier,68.64,4.43,11.73,1.58,14.17,11.23,28.3
2026-07-28T18:33:22Z,2026-07-28T18:31:12Z,2026-07-28T18:32:11Z,Rocket Classic,Detroit Golf Club,1,1,17536,"Spaun, J.J.",Birdies,3.5,-145,-114,0.5918367346938775,0.5327102803738317,sleeper_multiplier,68.7,4.83,11.22,1.62,14.33,9.1,29
2026-07-28T18:33:22Z,2026-07-28T18:31:12Z,2026-07-28T18:32:11Z,Rocket Classic,Detroit Golf Club,1,1,17536,"Spaun, J.J.",Bogeys,2.5,-105,-156,0.5121951219512195,0.609375,sleeper_multiplier,68.7,4.83,11.22,1.62,14.33,9.1,29
